nome,id_aluno,dominio,email,matriculas
JOSE,234,@hotmail.com,jose@hotmail.com,1
JOAO,51,@gmail.com,joao@gmail.com,1
ANTONIO,41,@hotmail.com,antonio@hotmail.com,3
FRANCISCO,323,@hotmail.com,francisco@hotmail.com,1
CARLOS,143,@hotmail.com,carlos@hotmail.com,2
PAULO,379,@gmail.com,paulo@gmail.com,2
PEDRO,187,@hotmail.com,pedro@hotmail.com,1
LUCAS,166,@gmail.com,lucas@gmail.com,1
LUIZ,25,@gmail.com,luiz@gmail.com,2
MARCOS,192,@hotmail.com,marcos@hotmail.com,1
LUIS,150,@hotmail.com,luis@hotmail.com,3
GABRIEL,361,@gmail.com,gabriel@gmail.com,2
RAFAEL,240,@gmail.com,rafael@gmail.com,1
DANIEL,139,@gmail.com,daniel@gmail.com,7
MARCELO,46,@hotmail.com,marcelo@hotmail.com,4
BRUNO,208,@gmail.com,bruno@gmail.com,1
EDUARDO,232,@hotmail.com,eduardo@hotmail.com,1
FELIPE,286,@gmail.com,felipe@gmail.com,2
RAIMUNDO,163,@gmail.com,raimundo@gmail.com,2
RODRIGO,183,@gmail.com,rodrigo@gmail.com,1
MANOEL,235,@hotmail.com,manoel@hotmail.com,1
MATEUS,355,@hotmail.com,mateus@hotmail.com,1
ANDRE,214,@gmail.com,andre@gmail.com,1
FERNANDO,174,@gmail.com,fernando@gmail.com,1
FABIO,220,@hotmail.com,fabio@hotmail.com,2
LEONARDO,159,@gmail.com,leonardo@gmail.com,5
GUSTAVO,108,@hotmail.com,gustavo@hotmail.com,2
GUILHERME,381,@gmail.com,guilherme@gmail.com,1
LEANDRO,9,@gmail.com,leandro@gmail.com,1
TIAGO,298,@gmail.com,tiago@gmail.com,1
ANDERSON,95,@gmail.com,anderson@gmail.com,3
RICARDO,5,@hotmail.com,ricardo@hotmail.com,1
MARCIO,344,@gmail.com,marcio@gmail.com,1
JORGE,324,@hotmail.com,jorge@hotmail.com,3
SEBASTIAO,122,@hotmail.com,sebastiao@hotmail.com,1
ALEXANDRE,366,@gmail.com,alexandre@gmail.com,3
ROBERTO,274,@gmail.com,roberto@gmail.com,2
EDSON,242,@gmail.com,edson@gmail.com,1
DIEGO,359,@hotmail.com,diego@hotmail.com,1
VITOR,387,@gmail.com,vitor@gmail.com,2
SERGIO,367,@hotmail.com,sergio@hotmail.com,2
CLAUDIO,257,@hotmail.com,claudio@hotmail.com,2
MATHEUS,273,@gmail.com,matheus@gmail.com,7
THIAGO,322,@gmail.com,thiago@gmail.com,2
GERALDO,23,@hotmail.com,geraldo@hotmail.com,2
ADRIANO,186,@gmail.com,adriano@gmail.com,1
LUCIANO,385,@gmail.com,luciano@gmail.com,1
JULIO,123,@gmail.com,julio@gmail.com,1
RENATO,295,@hotmail.com,renato@hotmail.com,1
ALEX,149,@hotmail.com,alex@hotmail.com,2
VINICIUS,352,@gmail.com,vinicius@gmail.com,1
ROGERIO,165,@hotmail.com,rogerio@hotmail.com,1
SAMUEL,213,@gmail.com,samuel@gmail.com,5
RONALDO,312,@hotmail.com,ronaldo@hotmail.com,1
MARIO,184,@hotmail.com,mario@hotmail.com,2
FLAVIO,169,@hotmail.com,flavio@hotmail.com,1
DOUGLAS,125,@hotmail.com,douglas@hotmail.com,1
IGOR,218,@hotmail.com,igor@hotmail.com,4
DAVI,58,@hotmail.com,davi@hotmail.com,3
MANUEL,338,@hotmail.com,manuel@hotmail.com,1
JEFERSON,308,@gmail.com,jeferson@gmail.com,1
CICERO,317,@hotmail.com,cicero@hotmail.com,1
VICTOR,84,@gmail.com,victor@gmail.com,1
MIGUEL,154,@hotmail.com,miguel@hotmail.com,4
ROBSON,144,@hotmail.com,robson@hotmail.com,2
MAURICIO,347,@gmail.com,mauricio@gmail.com,5
DANILO,94,@hotmail.com,danilo@hotmail.com,4
HENRIQUE,67,@gmail.com,henrique@gmail.com,5
CAIO,93,@hotmail.com,caio@hotmail.com,2
REGINALDO,179,@hotmail.com,reginaldo@hotmail.com,2
JOAQUIM,281,@gmail.com,joaquim@gmail.com,1
BENEDITO,76,@hotmail.com,benedito@hotmail.com,1
GILBERTO,17,@gmail.com,gilberto@gmail.com,2
MARCO,270,@hotmail.com,marco@hotmail.com,3
ALAN,276,@hotmail.com,alan@hotmail.com,3
NELSON,239,@hotmail.com,nelson@hotmail.com,5
CRISTIANO,226,@gmail.com,cristiano@gmail.com,4
ELIAS,196,@hotmail.com,elias@hotmail.com,1
WILSON,148,@gmail.com,wilson@gmail.com,1
VALDIR,61,@hotmail.com,valdir@hotmail.com,1
EMERSON,268,@hotmail.com,emerson@hotmail.com,1
LUAN,377,@gmail.com,luan@gmail.com,2
DAVID,304,@hotmail.com,david@hotmail.com,3
RENAN,85,@hotmail.com,renan@hotmail.com,1
SEVERINO,177,@hotmail.com,severino@hotmail.com,1
FABRICIO,211,@hotmail.com,fabricio@hotmail.com,2
MAURO,233,@gmail.com,mauro@gmail.com,2
JONAS,88,@gmail.com,jonas@gmail.com,1
GILMAR,386,@hotmail.com,gilmar@hotmail.com,1
JEAN,306,@hotmail.com,jean@hotmail.com,5
FABIANO,133,@hotmail.com,fabiano@hotmail.com,3
WESLEY,156,@hotmail.com,wesley@hotmail.com,3
DIOGO,305,@hotmail.com,diogo@hotmail.com,2
ADILSON,203,@hotmail.com,adilson@hotmail.com,7
JAIR,160,@hotmail.com,jair@hotmail.com,1
ALESSANDRO,374,@hotmail.com,alessandro@hotmail.com,4
EVERTON,358,@gmail.com,everton@gmail.com,3
OSVALDO,194,@hotmail.com,osvaldo@hotmail.com,1
GILSON,30,@hotmail.com,gilson@hotmail.com,2
WILLIAN,285,@gmail.com,willian@gmail.com,4
JOEL,248,@gmail.com,joel@gmail.com,1
SILVIO,345,@hotmail.com,silvio@hotmail.com,1
HELIO,54,@gmail.com,helio@gmail.com,3
MAICON,89,@gmail.com,maicon@gmail.com,2
REINALDO,157,@hotmail.com,reinaldo@hotmail.com,1
PABLO,301,@gmail.com,pablo@gmail.com,1
ARTUR,255,@gmail.com,artur@gmail.com,1
VAGNER,15,@hotmail.com,vagner@hotmail.com,2
VALTER,368,@hotmail.com,valter@hotmail.com,1
CELSO,339,@gmail.com,celso@gmail.com,2
IVAN,138,@gmail.com,ivan@gmail.com,3
CLEITON,360,@gmail.com,cleiton@gmail.com,2
VANDERLEI,260,@gmail.com,vanderlei@gmail.com,2
VICENTE,294,@hotmail.com,vicente@hotmail.com,4
ARTHUR,353,@gmail.com,arthur@gmail.com,4
MILTON,202,@hotmail.com,milton@hotmail.com,4
DOMINGOS,31,@hotmail.com,domingos@hotmail.com,4
WAGNER,40,@hotmail.com,wagner@hotmail.com,3
SANDRO,349,@gmail.com,sandro@gmail.com,3
MOISES,127,@gmail.com,moises@gmail.com,2
EDILSON,26,@gmail.com,edilson@gmail.com,1
ADEMIR,37,@gmail.com,ademir@gmail.com,1
ADAO,92,@hotmail.com,adao@hotmail.com,1
EVANDRO,42,@hotmail.com,evandro@hotmail.com,3
CESAR,307,@gmail.com,cesar@gmail.com,2
VALMIR,181,@gmail.com,valmir@gmail.com,7
MURILO,283,@hotmail.com,murilo@hotmail.com,1
JULIANO,318,@hotmail.com,juliano@hotmail.com,6
EDVALDO,252,@gmail.com,edvaldo@gmail.com,2
AILTON,38,@hotmail.com,ailton@hotmail.com,2
JUNIOR,393,@gmail.com,junior@gmail.com,1
BRENO,297,@gmail.com,breno@gmail.com,2
NICOLAS,55,@hotmail.com,nicolas@hotmail.com,1
RUAN,284,@hotmail.com,ruan@hotmail.com,1
ALBERTO,74,@gmail.com,alberto@gmail.com,1
RUBENS,219,@gmail.com,rubens@gmail.com,2
NILTON,8,@hotmail.com,nilton@hotmail.com,2
AUGUSTO,72,@gmail.com,augusto@gmail.com,2
CLEBER,320,@gmail.com,cleber@gmail.com,3
OSMAR,327,@gmail.com,osmar@gmail.com,1
NILSON,351,@hotmail.com,nilson@hotmail.com,1
ORLANDO,164,@gmail.com,orlando@gmail.com,2
HUGO,230,@gmail.com,hugo@gmail.com,6
OTAVIO,19,@gmail.com,otavio@gmail.com,2
VINICIOS,236,@hotmail.com,vinicios@hotmail.com,1
ITALO,262,@gmail.com,italo@gmail.com,7
WILIAN,224,@gmail.com,wilian@gmail.com,1
ALISSON,45,@gmail.com,alisson@gmail.com,6
APARECIDO,290,@gmail.com,aparecido@gmail.com,3
ISRAEL,79,@hotmail.com,israel@hotmail.com,2
EDMILSON,90,@hotmail.com,edmilson@hotmail.com,2
JOSUE,16,@hotmail.com,josue@hotmail.com,1
GERSON,330,@gmail.com,gerson@gmail.com,1
CAUA,155,@hotmail.com,caua@hotmail.com,5
SIDNEI,137,@gmail.com,sidnei@gmail.com,1
EMANUEL,199,@gmail.com,emanuel@gmail.com,2
VALDEMAR,162,@hotmail.com,valdemar@hotmail.com,2
JAIME,331,@hotmail.com,jaime@hotmail.com,2
EDIVALDO,253,@gmail.com,edivaldo@gmail.com,1
ARNALDO,346,@gmail.com,arnaldo@gmail.com,1
MOACIR,244,@hotmail.com,moacir@hotmail.com,1
DAMIAO,11,@gmail.com,damiao@gmail.com,1
ISMAEL,275,@gmail.com,ismael@gmail.com,1
NIVALDO,299,@hotmail.com,nivaldo@hotmail.com,1
JAIRO,120,@hotmail.com,jairo@hotmail.com,3
ISAIAS,100,@gmail.com,isaias@gmail.com,1
MICHEL,28,@gmail.com,michel@gmail.com,3
ANGELO,222,@hotmail.com,angelo@hotmail.com,1
CRISTIAN,237,@hotmail.com,cristian@hotmail.com,1
WELLINGTON,223,@hotmail.com,wellington@hotmail.com,1
ALEXANDRO,59,@gmail.com,alexandro@gmail.com,6
VALDEMIR,209,@hotmail.com,valdemir@hotmail.com,1
WANDERSON,152,@hotmail.com,wanderson@hotmail.com,1
JAILSON,24,@hotmail.com,jailson@hotmail.com,3
DENIS,238,@gmail.com,denis@gmail.com,2
RIAN,14,@hotmail.com,rian@hotmail.com,1
CELIO,78,@hotmail.com,celio@hotmail.com,5
CLAUDINEI,121,@gmail.com,claudinei@gmail.com,1
